serial,title,pdf_url,filename,status,error_message,file_size_kb,timestamp
1,"वित्‍त निर्देश-14   16 मई, 2026",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2026/14.pdf,1_शासकीय_व्यय_में_मितव्ययिता_एवं_वित्तीय_अनुशासन_के_संबंध_में.pdf,ok,,133.14,2026-05-21T01:18:58.474316
2,"वित्‍त निर्देश-42   20 दिसम्‍बर, 2023",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2023/42.pdf,2_शासकीय_व्यय_में_मितव्ययिता_एवं_वित्तीय_अनुशासन.pdf,ok,,162.85,2026-05-21T01:19:01.626000
3,"वित्‍त निर्देश-20   30 जून, 2021",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2021/20.pdf,3_शासकीय_व्यय_में_मितव्ययिता_एवं_वित्तीय_अनुशासन.pdf,ok,,82.94,2026-05-21T01:19:03.711671
4,"वित्‍त निर्देश-14   26 अप्रैल, 2021",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2021/14.pdf,4_शासकीय_व्यय_में_मितव्ययिता_एवं_वित्तीय_अनुशासन.pdf,ok,,1606.38,2026-05-21T01:19:07.144565
5,"वित्‍त निर्देश-19   03 जुलाई, 2020",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2020/19.pdf,5_शासकीय_व्यय_में_मितव्ययिता_एवं_वित्तीय_अनुशासन.pdf,ok,,90.52,2026-05-21T01:19:09.358660
6,"वित्‍त निर्देश-18   29 जून, 2020",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2020/18.pdf,6_शासकीय_व्यय_में_मितव्ययिता_एवं_वित्तीय_अनुशासन.pdf,ok,,91.42,2026-05-21T01:19:11.241991
7,"वित्‍त निर्देश-13   02 जून, 2020",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2020/13.pdf,7_शासकीय_व्यय_में_मितव्ययिता_एवं_वित्तीय_अनुशासन.pdf,ok,,90.2,2026-05-21T01:19:13.596999
8,"वित्‍त निर्देश-12   27 मई, 2020",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2020/12.pdf,8_शासकीय_व्यय_में_मितव्ययिता_एवं_वित्तीय_अनुशासन.pdf,ok,,205.94,2026-05-21T01:19:15.918028
9,"वित्‍त निर्देश-13   01 जुलाई, 2019",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2019/13.pdf,9_शासकीय_व्यय_में_मितव्ययिता_एवं_अनुशासन.pdf,ok,,72.75,2026-05-21T01:19:17.819336
10,"वित्‍त निर्देश-57   22 दिसम्‍बर, 2018",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2018/57.pdf,10_शासकीय_व्यय_में_मितव्ययिता_एवं_अनुशासन.pdf,ok,,91.2,2026-05-21T01:19:20.792648
11,"वित्‍त निर्देश-16   02 मई, 2017",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2017/16.pdf,11_रिक्त_पदों_पर_नियुक्ति_के_संबंध_में.pdf,ok,,150.52,2026-05-21T01:19:23.089545
12,"वित्‍त निर्देश-26   25 अक्‍टूबर, 2016",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2016/26.pdf,12_नया_रायपुर_स्थित_कार्यालयों_हेतु_शासकीय_वाहनों_की_ईंधन_सीमा_का_निर्धारण.pdf,ok,,180.24,2026-05-21T01:19:24.862014
13,"वित्‍त निर्देश-10   02 मई, 2016",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2016/10.pdf,13_रिक्‍त_पदों_पर_नियुक्ति_के_संबंध_में.pdf,ok,,171.16,2026-05-21T01:19:26.652169
14,"वित्‍त निर्देश-07   31 मार्च, 2016",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2016/07.pdf,14_शासकीय_वाहनों_की_पात्रता_एवं_क्रय.pdf,ok,,141.22,2026-05-21T01:19:28.950161
15,"वित्‍त निर्देश-12   02 मई, 2015",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2015/12.pdf,15_रिक्‍त_पदों_पर_नियुक्ति_के_संबंध_में.pdf,ok,,171.75,2026-05-21T01:19:31.639099
16,"वित्‍त निर्देश-25   25 अप्रैल, 2014",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2014/25.pdf,16_अधिकारियों_को_शासकीय_दूरभाष_की_सुविधा_के_संबंध_में_।.pdf,ok,,138.41,2026-05-21T01:19:33.175332
17,"वित्‍त निर्देश-20   11 अप्रैल, 2014",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2014/20.pdf,17_अधिकारियों_को_शासकीय_दूरभाष_की_सुविधा_के_संबंध_में_।.pdf,ok,,184.06,2026-05-21T01:19:35.590208
18,"वित्‍त निर्देश-29   14 जून, 2013",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2013/29.pdf,18_अधिकारियों_को_शासकीय_दूरभाष_की_सुविधा_के_संबंध_में।.pdf,ok,,39.59,2026-05-21T01:19:37.613202
19,"वित्‍त निर्देश-70   31 अक्‍टूबर, 2012",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2012/70.pdf,19_राज्‍य_मंत्रालय_के_नवीन_भवन_में_स्‍थानांतरण_के_फलस्‍वरूप_शासकीय_वाहनों_की_ईंधन_सीमा_में_वृद्धि।.pdf,ok,,49.5,2026-05-21T01:19:39.193563
20,"वित्‍त निर्देश-53   23 जुलाई, 2012",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2012/53.pdf,20_शासकीय_व्‍यय_में_मितव्‍ययिता_एवं_अनुशासन।.pdf,ok,,988.61,2026-05-21T01:19:42.117883
21,"वित्‍त निर्देश-35   16 अगस्‍त, 2011",https://finance.cg.gov.in/vitt_nirdesh/year_wise/pdf_2011/35.pdf,21_अधिकारियों_को_शासकीय_दूरभाष_की_सुविधा_के_संबंध_में।.pdf,ok,,50.9,2026-05-21T01:19:44.561155
